,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2025-02-18,902685,325382,417130,145828,16486,115099,81395,51814,91160,-91748,129342,33704,-39346,1038.5,1041.75,1026.0,1033.0,123334
2025-02-25,828710,298969,387299,149867,15489,111182,87468,49470,83734,-88330,134378,23714,-34264,1031.25,1035.0,1019.5,1029.0,117588
2025-03-04,813417,297819,365330,150767,15752,99542,124067,61812,71570,-67511,135015,-24525,-9758,984.0,1000.25,978.0,995.25,928
2025-03-11,810374,287040,372337,146093,16492,101927,109849,63831,68049,-85297,129601,-7922,-4218,997.75,1006.25,997.0,998.0,66
2025-03-18,830437,278942,371976,148147,15645,97402,115386,69921,60214,-93034,132502,-17984,9707,1012.75,1021.75,1011.25,1015.0,100675
2025-03-25,853368,287691,380080,147137,12611,89649,123470,72064,52653,-92389,134526,-33821,19411,1001.75,1007.75,998.25,1007.0,99523
2025-04-01,853961,272034,380185,145780,12048,102571,106252,56082,55913,-108151,133732,-3681,169,1034.25,1034.75,1010.5,1014.75,167012
2025-04-08,868685,275172,369222,145469,12799,96941,124275,65345,54859,-94050,132670,-27334,10486,992.75,1002.25,982.5,983.25,216115
2025-04-15,815871,269006,416854,137405,16267,123563,80215,59261,52448,-147848,121138,43348,6813,1036.0,1041.25,1030.75,1040.5,126985
2025-04-22,813041,272628,419695,132405,16790,136399,83154,55136,52697,-147067,115615,53245,2439,1035.0,1039.5,1030.0,1030.75,78848
2025-04-29,752688,234187,389261,131956,15858,134677,75749,49490,48945,-155074,116098,58928,545,1041.0,1052.75,1034.75,1051.5,38351
2025-05-06,778000,241720,388000,133496,18174,126245,84517,51401,43744,-146280,115322,41728,7657,1034.75,1038.0,1030.0,1038.0,282
2025-05-13,822498,242025,408222,134590,20369,136702,81035,52118,42607,-166197,114221,55667,9511,1067.25,1071.0,1067.25,1069.0,31
2025-05-20,844860,256476,412072,137833,16953,125737,94407,54302,37719,-155596,120880,31330,16583,1053.0,1056.75,1046.25,1050.75,92812
2025-05-27,859854,261065,441009,135217,16409,141474,80555,53539,41897,-179944,118808,60919,11642,1062.5,1067.75,1059.0,1061.25,85012
2025-06-03,876302,269443,432421,132416,13815,134570,99966,57346,32003,-162978,118601,34604,25343,1040.75,1044.0,1032.75,1034.5,103958
2025-06-10,858945,269397,441960,128236,13791,127770,92699,62613,27288,-172563,114445,35071,35325,1057.75,1063.75,1055.75,1057.25,139464
2025-06-17,846169,272044,442633,119038,18396,137366,75077,58618,35684,-170589,100642,62289,22934,1074.0,1075.25,1063.75,1069.75,132731
2025-06-24,838160,272342,428417,127813,14295,131177,95781,59088,38614,-156075,113518,35396,20474,1046.75,1062.25,1046.25,1055.0,98635
2025-07-01,846236,280982,422361,129243,13461,122465,108564,60280,32848,-141379,115782,13901,27432,1024.75,1026.5,1012.25,1022.0,1119
2025-07-08,845981,286866,422887,126018,12358,119999,112815,62513,31629,-136021,113660,7184,30884,1024.25,1040.5,1024.25,1038.75,239
2025-07-15,881394,310486,426681,126655,10542,118284,135476,68496,36010,-116195,116113,-17192,32486,995.0,1002.5,993.0,997.25,31994
2025-07-22,898005,315560,451482,130461,12950,118238,109129,63883,36959,-135922,117511,9109,26924,1010.25,1017.5,1005.0,1016.0,57095
2025-07-29,852812,311514,408927,138467,13144,106822,131594,55970,41982,-97413,125323,-24772,13988,981.75,990.75,976.75,987.75,51072
2025-08-05,852135,292585,370633,142851,9910,99566,153160,57227,42793,-78048,132941,-53594,14434,969.0,970.25,968.0,969.0,306
2025-08-12,880351,300312,396628,140506,13672,99633,125856,53806,43158,-96316,126834,-26223,10648,1011.75,1011.75,975.0,978.5,157
2025-08-19,894160,320681,447377,140101,17610,97108,98861,58589,37090,-126696,122491,-1753,21499,1013.0,1025.25,1009.75,1021.5,18605
2025-08-26,861446,319776,441698,142532,21253,104112,84967,49663,50619,-121922,121279,19145,-956,1028.75,1034.5,1019.5,1025.0,23442
2025-09-02,862506,322920,447066,139117,21643,101829,90413,55523,45519,-124146,117474,11416,10004,1025.75,1035.0,1019.5,1035.0,1134
2025-09-09,866412,332244,452585,144346,19072,93311,106693,60054,38349,-120341,125274,-13382,21705,1011.5,1011.5,1011.5,1011.5,18
2025-09-16,895633,333805,467640,144628,19086,105484,105296,61867,40868,-133835,125542,188,20999,1049.75,1052.5,1041.75,1043.0,109074
2025-09-23,925006,339671,458105,141750,15945,99535,124277,66409,35919,-118434,125805,-24742,30490,1012.0,1015.5,1005.0,1010.75,147291
2025-09-30,932138,345736,446102,133971,12002,98361,129954,63139,39879,-100366,121969,-31593,23260,1001.75,1009.25,1000.5,1009.25,160384
2025-10-07,943056,340811,482844,134318,13006,117965,114064,68843,32870,-142033,121312,3901,35973,1022.0,1025.5,1016.0,1017.0,153295
2025-10-14,977612,339885,489789,134930,11360,118367,115741,72067,28528,-149904,123570,2626,43539,1006.5,1009.75,1001.0,1007.0,143602
2025-10-21,943984,321540,494434,127362,14222,126339,88846,70319,30196,-172894,113140,37493,40123,1030.75,1038.0,1027.75,1031.75,173746
2025-10-28,878206,258979,512005,138224,22576,170860,50841,71318,34144,-253026,115648,120019,37174,1078.25,1091.5,1065.25,1066.5,136145
2025-11-04,882696,214147,524048,143246,28747,220227,35161,76326,43968,-309901,114499,185066,32358,1108.25,1119.0,1100.75,1116.5,1309
2025-11-10,922039,218222,543043,149311,31761,236417,32941,77995,53345,-324821,117550,203476,24650,1116.0,1116.0,1106.25,1106.25,635
2025-11-18,965793,242309,588300,150454,34345,273089,39612,78073,57460,-345991,116109,233477,20613,1153.5,1169.5,1147.75,1155.5,186560
2025-11-25,948676,245966,581586,150450,33755,246137,20667,74817,60474,-335620,116695,225470,14343,1124.75,1128.75,1117.25,1121.75,115334
2025-12-02,957611,253018,590424,147823,35218,247915,20628,76060,58075,-337406,112605,227287,17985,1124.75,1135.75,1123.25,1126.5,134455
2025-12-09,931309,252820,564790,149337,31578,222358,32233,75945,49965,-311970,117759,190125,25980,1087.25,1094.75,1084.5,1093.75,185665
2025-12-16,880590,237733,529960,144270,27304,196000,41026,77463,39547,-292227,116966,154974,37916,1062.75,1076.25,1059.5,1072.0,138914
2025-12-23,845580,232904,492594,134534,25152,163032,50771,76992,31474,-259690,109382,112261,45518,1051.5,1057.75,1049.75,1053.5,98420
2025-12-30,776599,217842,450777,144587,23541,143980,53972,59863,28060,-232935,121046,90008,31803,1046.25,1053.5,1044.0,1049.5,38187
2026-01-06,782429,218570,437004,147716,19597,123376,57569,66305,27342,-218434,128119,65807,38963,1042.0,1053.0,1042.0,1048.25,527
2026-01-13,814218,245068,416745,148821,16629,111731,91746,64709,25747,-171677,132192,19985,38962,1023.25,1029.75,1023.25,1029.25,83
2026-01-20,836880,261685,427571,142307,16209,104857,90233,68174,24669,-165886,126098,14624,43505,1053.0,1061.75,1052.0,1053.0,113531
2026-01-27,858833,271337,432949,144074,19536,104463,84669,62611,24974,-161612,124538,19794,37637,1067.25,1069.5,1058.5,1060.25,81662
2026-02-03,883178,284551,448476,145154,24501,120511,91358,57459,22445,-163925,120653,29153,35014,1065.75,1071.0,1060.0,1060.5,120567
2026-02-10,935448,293498,524863,153656,41198,170099,54203,63506,33068,-231365,112458,115896,30438,1122.5,1124.0,1106.25,1110.0,189639
2026-02-17,984660,291943,555677,153961,47998,208613,49632,65775,32965,-263734,105963,158981,32810,1134.0,1139.25,1125.75,1132.25,111218
2026-02-24,959299,261105,535557,148561,49637,212701,41309,66788,27908,-274452,98924,171392,38880,1139.5,1141.5,1128.0,1134.5,80634
2026-03-03,987365,244080,541533,157453,48859,235483,47992,67576,33165,-297453,108594,187491,34411,1155.75,1169.25,1149.5,1153.0,1168
2026-03-10,1016277,260190,562345,157893,51353,253566,42112,54024,35210,-302155,106540,211454,18814,1187.25,1191.25,1174.75,1180.0,107
2026-03-17,980259,262475,559371,158086,51691,235016,39795,59618,33773,-296896,106395,195221,25845,1157.0,1170.5,1145.25,1147.0,226253
2026-03-24,959188,267045,561605,162895,50603,227533,36183,54925,31065,-294560,112292,191350,23860,1155.0,1166.75,1153.75,1164.25,110638
2026-03-31,981250,273502,574405,160149,53691,234120,30112,58513,34675,-300903,106458,204008,23838,1171.0,1177.75,1156.0,1159.0,125889
2026-04-07,999742,281521,569580,163341,52454,220334,39029,63175,36021,-288059,110887,181305,27154,1158.25,1170.5,1155.25,1164.75,105838
2026-04-14,999909,288148,574748,165829,52232,206009,37928,71788,38147,-286600,113597,168081,33641,1158.0,1168.5,1156.0,1160.5,129741
2026-04-21,1000958,284381,568393,153010,51904,219043,31470,67158,43585,-284012,101106,187573,23573,1174.5,1178.5,1165.0,1165.5,103908
2026-04-28,907541,246640,517950,158933,53802,205205,28295,54013,36984,-271310,105131,176910,17029,1173.0,1177.75,1167.0,1175.75,91445
2026-05-05,975385,249930,561518,162504,55461,247320,33806,56560,37876,-311588,107043,213514,18684,1195.75,1215.25,1194.5,1215.25,540
2026-05-12,990996,254661,555040,170799,58523,238652,30629,51134,35155,-300379,112276,208023,15979,1213.5,1213.5,1203.0,1204.0,94
2026-05-19,1023176,285609,590413,179923,58385,232512,34475,56039,41838,-304804,121538,198037,14201,1209.5,1220.75,1208.0,1213.0,107278
2026-05-26,1027526,289560,587305,180667,59532,224926,40697,60404,39958,-297745,121135,184229,20446,1186.0,1193.5,1184.5,1192.0,95376
2026-06-02,1054882,285594,568244,176681,58921,218597,62817,68197,36193,-282650,117760,155780,32004,1165.25,1182.75,1163.0,1181.5,150085
2026-06-09,1016125,308816,561486,172749,42199,179591,81732,87815,35211,-252670,130550,97859,52604,1113.75,1118.5,1110.25,1116.25,153585
2026-06-16,1020288,318812,532893,163679,39243,157138,102644,95362,32248,-214081,124436,54494,63114,1130.0,1138.5,1107.5,1119.0,130321
2026-06-23,1006834,315071,516375,164293,35645,142168,105182,95670,31812,-201304,128648,36986,63858,1117.0,1123.75,1114.0,1116.25,99709
2026-06-30,898681,286305,451199,151509,33798,133396,95247,64472,25994,-164894,117711,38149,38478,1116.75,1127.5,1098.75,1109.0,3252
2026-07-07,975954,323470,524759,157963,42259,146672,77093,68946,25718,-201289,115704,69579,43228,1196.75,1200.25,1178.5,1180.5,310
